Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Couquinho,2015,1802836,Touriga Nacional Rosé 2015,0.0,9,12.0,Portugal,Tinto do Douro
Marquês de Marialva,2019,6503737,Colheita Seleccionada Rosé Baga 2019,3.8,320,3.95,Portugal,Bairrada
Esporão,2012,2141689,Assobio Douro Rosé 2012,3.5,44,7.6,Portugal,Douro
Artefacto,2019,7070250,Rosé 2019,0.0,21,5.95,Portugal,Alentejano
Julia Kemper,2014,5528684,Elpenor Rosé 2014,0.0,20,6.9,Portugal,Dão
Paulo Laureano,2009,1655632,Premium Rosé 2009,0.0,7,7.95,Portugal,Alentejano
Quinta do Quetzal,2021,5515753,Guadalupe Rosé 2021,0.0,4,5.95,Portugal,Alentejo
Pormenor,2017,5643080,Rose 2017,0.0,9,13.95,Portugal,Duriense
Quinta do Espinho,2018,5742128,Rosé 2018,0.0,17,7.95,Portugal,Douro
Titular,2015,1940544,Rosé 2015,3.9,48,6.5,Portugal,Dão
Quinta da Falorca,2011,2383046,Rosé 2011,0.0,6,9.95,Portugal,Dão
Quinta de Santiago,2016,4505685,Rosé 2016,4.0,42,36.5,Portugal,Vinho Verde
Quinta dos Avidagos,2021,5318035,Rosé 2021,0.0,16,4.8,Portugal,Douro
D. Graça,2019,5550908,Rosé 2019,0.0,13,6.2,Portugal,Douro
Casa da Passarella,2022,5516074,A Descoberta Rosado 2022,0.0,1,6.0,Portugal,Serra da Estrela
Ma+Ru+Fa,2019,9085525,Alice Rosé 2019,0.0,13,6.666666666666667,Portugal,Tejo
Valcatrina,2021,4864439,Rosé 2021,0.0,7,7.95,Portugal,Alentejano
Alves de Sousa,2018,5261705,Vale da Raposa Rosé 2018,0.0,12,6.9,Portugal,Douro
Esporão,2021,2141689,Assobio Douro Rosé 2021,3.6,34,6.49,Portugal,Douro
Espera,2020,6765726,Touriga Nacional Rosé 2020,0.0,4,8.9,Portugal,Lisboa
Villa Alvor,2020,7507207,Moscatel Galego - Roxo 2020,0.0,22,11.99,Portugal,Algarve
Quinta do Monte d'Oiro,2017,6415313,Reserva Rosé 2017,0.0,8,24.95,Portugal,Lisboa
Herdade do Portocarro,2018,2751887,Tears of Anima Rosé 2018,4.1,67,15.95,Portugal,Península de Setúbal
Quinta Vale do Bragão,2020,5612930,Rosé 2020,3.4,53,8.45,Portugal,Douro
Casa de Santa Vitoria,2019,1424865,Versátil Rosé 2019,3.4,56,3.95,Portugal,Alentejano
Quinta da Sequeira,2019,1360460,Rosé 2019,0.0,24,9.0,Portugal,Douro
Mainova,2021,8554899,Moinante Rosé Castelão 2021,0.0,21,14.9,Portugal,Alentejo
Casal Sta. Maria,2021,6518311,Mar de Rosas 2021,0.0,15,22.5,Portugal,Lisboa
Herdade da Comporta,2020,1188482,Rosé 2020,0.0,15,8.19,Portugal,Península de Setúbal
Montes Ermos,2022,1736197,Touriga Nacional Rosé 2022,0.0,1,3.75,Portugal,Douro
Herdade do Peso,2020,4801931,Sossego Rosé 2020,3.7,129,4.95,Portugal,Alentejano
Quinta da Boa Esperança,2020,5123361,Rosé 2020,4.0,61,8.9,Portugal,Lisboa
Colinas de São Lourenço,2010,1314870,Principal Rosé Téte de Cuvée 2010,4.2,579,69.95,Portugal,Bairrada
Quinta Casa Amarela,2019,1311521,Rosé 2019,3.7,31,8.99,Portugal,Douro
Vinha Paz,2016,2193032,Rosé 2016,0.0,11,5.9,Portugal,Dão
Casa de Mouraz,2021,4161962,Dão Rosé 2021,0.0,8,12.0,Portugal,Dão
Titular,2019,1940544,Rosé 2019,3.8,112,7.9,Portugal,Dão
Kopke,2020,8328815,Winemaker's Collection Tinta Cão Rosé 2020,4.2,104,26.0,Portugal,Douro
Casa de Cello,2021,3484140,Quinta da Vegia Rosé 2021,0.0,3,9.0,Portugal,Dão
Quinta Maria Izabel,2017,3722798,Maria Izabel Rosé 2017,3.9,212,13.5,Portugal,Douro
Quinta do Sobreiró de Cima,2021,3801781,Touriga Nacional Rosé 2021,0.0,2,5.3,Portugal,Trás-os-Montes
Howard's Folly,2021,8627692,Sonhador Rosé 2021,0.0,10,12.5,Portugal,Alentejano
Montes Ermos,2019,1736197,Touriga Nacional Rosé 2019,0.0,17,3.75,Portugal,Douro
Mingorra,2019,1621251,Terras d'Uva Rosé 2019,0.0,21,4.5,Portugal,Alentejano
Quinta da Raza,2021,1167188,Dom Diogo Padeiro Rosé 2021,3.9,46,5.5,Portugal,Vinho Verde
Casa de Santa Vitoria,2018,1148231,Rosé 2018,0.0,20,5.64,Portugal,Alentejano
Muxagat,2019,1309878,Douro Rosé 2019,0.0,18,9.25,Portugal,Douro
Lavradores de Feitoria,2016,3836005,Cheda Rosé 2016,0.0,3,5.64,Portugal,Douro
Casa Ermelinda Freitas,2019,1199677,Terras Do Pó Rosé 2019,3.5,96,3.59,Portugal,Península de Setúbal
Companhia das Lezírias,2019,5253842,Tyto Alba Rosé 2019,0.0,4,7.99,Portugal,Ribatejo
Quinta Casa Amarela,2018,1311521,Rosé 2018,3.7,35,8.42,Portugal,Douro
Colinas de São Lourenço,2016,1314870,Principal Rosé Téte de Cuvée 2016,4.5,48,56.8,Portugal,Bairrada
Quinta do Vallado,2019,2515323,Touriga Nacional Rosè 2019,3.8,161,7.46,Portugal,Douro
Quinta de Santiago,2021,4505685,Rosé 2021,0.0,8,10.0,Portugal,Vinho Verde
Vallegre,2020,5545225,Douro Colheita Rosé 2020,3.8,32,6.5,Portugal,Douro
Quinta de Santiago,2019,4505685,Rosé 2019,0.0,22,9.6,Portugal,Vinho Verde
Soito,2019,5014362,Rosé 2019,4.0,34,9.0,Portugal,Dão
Quinta do Perdigão,2021,2237307,Rosé 2021,0.0,22,9.0,Portugal,Dão
Casa da Passarella,2021,5516074,A Descoberta Rosado 2021,3.9,45,6.4,Portugal,Serra da Estrela
Vinha Paz,2021,2193032,Rosé 2021,0.0,3,11.5,Portugal,Dão
Ilha,2018,6656388,Tinta Negra Rosé 2018,0.0,5,20.99,Portugal,Madeirense
Quinta do Monte d'Oiro,2018,6415313,Reserva Rosé 2018,0.0,3,19.9,Portugal,Lisboa
Adega de Monção,2021,1397799,Vinho Verde Muralhas Rosé 2021,3.9,92,3.82,Portugal,Vinho Verde
Malhadinha Nova,2022,1709173,Alentejano Monte da Peceguina Rosé 2022,0.0,2,11.92,Portugal,Alentejano
Malhadinha Nova,2019,4993521,Malhadinha Rosé 2019,0.0,19,5.64,Portugal,Alentejo
Casal Sta. Maria,2020,9669571,3000 Rosas 2020,0.0,22,14.95,Portugal,Lisboa
Poças,2020,8564056,Rosé 2020,0.0,4,8.29,Portugal,Douro
Colinas de São Lourenço,2019,1314870,Principal Rosé Téte de Cuvée 2019,0.0,7,56.8,Portugal,Bairrada
CARM,2020,1151675,Vinha da Urze Rosé 2020,0.0,9,4.65,Portugal,Douro
Real Companhia Velha,2021,7442399,Síbio Rosé 2021,0.0,23,14.89,Portugal,Douro
Monte da Ravasqueira,2021,5815551,Clássico Rosé 2021,3.7,149,8.9636950736907,Portugal,Alentejano
Monte Branco,2021,1587316,Alento Rosé 2021,3.8,29,6.99,Portugal,Alentejo
Quinta do Portal,2021,1275081,Colheita Rosé 2021,0.0,4,8.95,Portugal,Douro
Dona Maria,2020,1146629,Rosé 2020,3.9,70,8.9,Portugal,Alentejo
Wine & Soul,2021,8380106,Manoella Rosé 2021,3.9,37,13.89,Portugal,Douro
Quinta da Boa Esperança,2020,10502496,Rosé Atlântico 2020,4.0,40,13.9,Portugal,Lisboa
Murganheira,2021,2584824,Rosé 2021,0.0,1,3.97,Portugal,Távora-Varosa
Quinta do Portal,2021,6250172,Rosé 2021,0.0,17,7.47,Portugal,Douro
Dona Maria,2018,1146629,Rosé 2018,3.7,104,22.95,Portugal,Alentejo
Villa Alvor,2020,7283969,Rosé 2020,3.5,70,5.95,Portugal,Algarve
Quinta da Pellada,2022,4731275,Quinta de Saes Rosé 2022,0.0,4,8.5,Portugal,Dão
Joao Portugal Ramos,2020,3352525,Pouca Roupa Rosè 2020,0.0,21,4.24,Portugal,Alentejano
Herdade de Gâmbia,2021,4282918,Rosé 2021,0.0,15,5.5,Portugal,Península de Setúbal
Herdade de Gâmbia,2014,4282918,Rosé 2014,0.0,22,5.5,Portugal,Península de Setúbal
Quinta do Portal,2019,6250172,Rosé 2019,3.7,30,14.83591230855848,Portugal,Douro
Cabriz,2020,1770323,Dão Rosé 2020,0.0,19,5.15,Portugal,Dão
Lua Cheia - Saven,2018,5394278,Em Vinhas Velhas Rosé 2018,3.8,74,6.5,Portugal,Douro
Altano,2021,10970310,Naturalmente Biológico Rosé 2021,3.8,71,7.2,Portugal,Douro
Herdade do Peso,2021,4801931,Sossego Rosé 2021,3.6,81,4.95,Portugal,Alentejano
José Maria da Fonseca,2021,9474628,João Pires Rosé 2021,3.8,269,3.95,Portugal,Península de Setúbal
Malaca,2021,2379916,Rosé 2021,0.0,3,6.5,Portugal,Algarve
Quinta dos Avidagos,2017,7561613,Reserva Rosé 2017,3.8,30,12.95,Portugal,Douro
Casa de Santa Vitoria,2022,1424865,Versátil Rosé 2022,0.0,5,3.95,Portugal,Alentejano
Quinta da Lapa,2021,6237977,Nana Rosé 2021,0.0,5,6.7,Portugal,Tejo
Herdade do Sobroso,2022,6291426,Cellar Selection Syrah Rosé 2022,0.0,8,13.95,Portugal,Alentejo
Palmeirim D'Inglaterra,2019,6761172,Rosé 2019,0.0,1,7.95,Portugal,Trás-os-Montes
Herdade da Maroteira,2020,4928040,Dez Tostões Rosé 2020,4.0,147,6.95,Portugal,Alentejano
Opta,2021,5558926,Rosé 2021,3.6,35,5.95,Portugal,Dão
Campolargo,2019,1802768,Entre II Santos Rosé 2019,0.0,9,5.95,Portugal,Bairrada
Valle Pradinhos,2022,1200515,Rosé 2022,0.0,9,7.6,Portugal,Trás-os-Montes
Palmeirim D'Inglaterra,2019,6761172,Rosé 2019,0.0,1,7.95,Portugal,Trás-os-Montes
Seara d'Ordens,2019,8083349,Mater Rosé 2019,0.0,16,8.5,Portugal,Douro
Casa do Joa,2020,6301937,Alto do Joa Rosé 2020,0.0,17,21.92,Portugal,Transmontano
Cabriz,2020,5277662,Dão Colheita Seleccionada Rose 2020,3.7,174,4.5,Portugal,Dão
Adega Mayor,2019,2533737,Caiado Rosé 2019,3.6,126,4.25,Portugal,Alentejano
Barranco Longo,2021,1240341,Rosé 2021,4.0,32,8.59,Portugal,Algarve
Maçanita,2021,4985780,Touriga Nacional em Rosé 2021,4.0,182,7.8,Portugal,Douro
Casa de Santar,2020,10327662,Rosé 2020,0.0,13,13.85,Portugal,Dão
Quanta Terra,2021,7605573,Phenomena Pinot Noir Rosé 2021,4.2,80,23.86,Portugal,Duriense
Quinta do Mouro,2018,7366247,Erro Z Rosé 2018,4.3,38,24.4,Portugal,Alentejano
Quinta do Espinho,2021,5742128,Rosé 2021,0.0,10,6.28,Portugal,Douro
Titan of Douro,2019,8554778,Reserva Rosé 2019,4.2,99,18.5,Portugal,Douro
Covela,2015,2256836,Rosé 2015,3.7,206,7.38,Portugal,Minho
Quinta Nova de Nossa Senhora do Carmo,2021,5443364,Rosé 2021,4.0,92,11.61,Portugal,Douro
Casa de Saima,2019,1377989,Rosé 2019,0.0,6,6.18,Portugal,Bairrada
Salvador,2015,2828635,Portal da Calçada Rosé 2015,3.7,87,6.86,Portugal,Vinho Verde
Herdade do Portocarro,2020,2751887,Tears of Anima Rosé 2020,4.1,31,14.81,Portugal,Península de Setúbal
Reynolds Wine Growers,2020,8347815,Carlos Reynolds Rosé 2020,3.8,34,7.73,Portugal,Alentejano
Bacalhôa,2021,6398271,Roxo 2021,4.2,33,9.97,Portugal,Península de Setúbal
Casa do Joa,2019,6301937,Alto do Joa Rosé 2019,0.0,13,22.25,Portugal,Transmontano
Ribeiro Santo,2018,5708034,Pinha Rosé 2018,0.0,1,4.1,Portugal,Dão
Torre de Palma,2021,7466616,Rosé 2021,0.0,14,19.01,Portugal,Alentejano
Campolargo,2015,1802768,Entre II Santos Rosé 2015,0.0,12,11.02,Portugal,Bairrada
Quinta da Lapa,2019,5267325,Selection Rosé 2019,0.0,11,4.1,Portugal,Tejo
CARM,2019,1151641,Rosé 2019,3.9,46,7.94,Portugal,Tinto do Douro
Niepoort,2021,1166848,Redoma Rosé 2021,3.9,39,10.52,Portugal,Douro
Casa Ferreirinha,2016,2795324,Vinha Grande Douro Rosé 2016,3.3,70,10.5,Portugal,Douro
Casal Sta. Maria,2019,6518311,Mar de Rosas 2019,4.2,180,20.0,Portugal,Lisboa
Bacalhôa,2018,7464604,Touriga Franca Rosé 2018,3.8,67,10.28,Portugal,Península de Setúbal
Herdade do Sobroso,2021,2497159,Rosé 2021,0.0,18,8.5,Portugal,Alentejo
Quinta da Biaia,2019,8932918,Rosé Mourisco 2019,3.8,34,9.48,Portugal,Beira Interior
Companhia das Lezírias,2015,5253842,Tyto Alba Rosé 2015,0.0,1,6.54,Portugal,Ribatejo
Quinta da Falorca,2014,2383046,Rosé 2014,0.0,5,8.64,Portugal,Dão
Quinta Dona Sancha,2019,9748287,Rosé 2019,0.0,0,11.87,Portugal,Dão
Casa Ferreirinha,2019,2795324,Vinha Grande Douro Rosé 2019,3.5,74,8.7,Portugal,Douro
Aneto,2019,3812789,Rosé 2019,0.0,19,9.05,Portugal,Douro
Quinta de Santiago,2020,4505685,Rosé 2020,0.0,3,12.34,Portugal,Vinho Verde
Marquês de Marialva,2020,2452522,Rosé 2020,0.0,0,7.98,Portugal,Bairrada
Mateus,N.V.,1253734,The Original Rosé N.V.,3.7,48107,2.39,Portugal,Douro
Quinta da Sequeira,2021,1360460,Rosé 2021,0.0,12,13.9,Portugal,Douro
Campolargo,2017,1802768,Entre II Santos Rosé 2017,0.0,1,12.45,Portugal,Bairrada
Quinta do Monte d'Oiro,2017,1988268,Lybra Rosé 2017,0.0,24,21.95,Portugal,Lisboa
Quinta da Laceira,2010,1360872,Rosé 2010,0.0,11,2.95,Portugal,Douro
Paulo Laureano,2010,1655632,Premium Rosé 2010,0.0,8,7.95,Portugal,Alentejano
Casa dos Fontes,2014,2369731,Rosé 2014,3.2,31,6.9,Portugal,Vinho Verde
Titular,2015,4961683,Blush Edition Rosé 2015,0.0,15,17.9,Portugal,Dão
Herdade de São Miguel,2019,3045598,Colheita Seleccionada Rosé 2019,3.8,51,4.95,Portugal,Alentejano
Paço Dos Infantes,2021,8057400,Rosé 2021,0.0,8,14.5,Portugal,Alentejano
Niepoort,2022,1166848,Redoma Rosé 2022,0.0,16,10.5,Portugal,Douro
Quinta de Carapecos,2022,2494936,Espadeiro Rosé 2022,0.0,1,9.75,Portugal,Vinho Verde
Sexy,2016,1267716,Rosé 2016,3.4,28,8.49,Portugal,Alentejo
Quinta do Monte d'Oiro,2021,6415313,Reserva Rosé 2021,0.0,2,19.89,Portugal,Lisboa
Rola,2019,4623548,Rosé 2019,4.0,91,10.5,Portugal,Douro
Dona Maria,2022,1146629,Rosé 2022,0.0,6,10.5,Portugal,Alentejo
Kopke,2019,8328815,Winemaker's Collection Tinta Cão Rosé 2019,4.2,80,33.9,Portugal,Douro
Solar dos Lobos,2015,4523069,Rosé 2015,3.3,43,3.95,Portugal,Alentejo
Quinta dos Termos,2019,1914903,Termos Rosé 2019,3.9,57,5.81,Portugal,Beira Interior
Casa Ermelinda Freitas,2020,1199677,Terras Do Pó Rosé 2020,0.0,10,3.25,Portugal,Península de Setúbal
Herdade da Maroteira,2019,4928040,Dez Tostões Rosé 2019,3.7,66,6.0,Portugal,Alentejano
Colinas de São Lourenço,2009,1314870,Principal Rosé Téte de Cuvée 2009,4.1,135,41.0,Portugal,Bairrada
Cartuxa,2017,3600107,EA Rosé 2017,3.6,174,5.95,Portugal,Alentejo
Vila Nova de Tazem,2020,3691670,Sonante Rosé 2020,0.0,0,3.99,Portugal,Dão
Altas Quintas,2020,1267873,Crescendo Rosé 2020,0.0,3,9.2,Portugal,Alentejano
Villa Alvor,2018,7283969,Rosé 2018,3.3,50,5.95,Portugal,Algarve
Távora,2021,3814053,O Malhadinhas Rosé 2021,0.0,0,2.75,Portugal,Beiras
Casa Ermelinda Freitas,2022,1199677,Terras Do Pó Rosé 2022,0.0,0,3.25,Portugal,Península de Setúbal
Casa Américo,2021,5329130,Rosé 2021,0.0,1,7.01,Portugal,Dão
Herdade do Portocarro,2021,2751887,Tears of Anima Rosé 2021,0.0,23,14.52,Portugal,Península de Setúbal
Quinta de Chocapalha,2018,7638857,Reserva Rosé 2018,0.0,14,14.5,Portugal,Lisboa
Monte da Casteleja,2021,1648849,Organic Rosé 2021,0.0,18,13.9,Portugal,Algarve
Nelson Neves,2022,4919166,Merlot Rosé 2022,0.0,2,8.75,Portugal,Bairrada
Casa de Santa Vitoria,2021,1424865,Versátil Rosé 2021,0.0,19,3.95,Portugal,Alentejano
Sexy,2021,1267716,Rosé 2021,0.0,0,13.24289415568561,Portugal,Alentejo
Quinta de Arcossó,2020,1811007,Bastardo Rosé 2020,3.8,49,7.4,Portugal,Trás-os-Montes
Bombeira do Guadiana,2018,1883754,Escolha Rosé 2018,0.0,0,21.12,Portugal,Alentejano
Quinta da Pellada,2020,4731275,Quinta de Saes Rosé 2020,3.8,73,7.11,Portugal,Dão
Casa de Santa Vitoria,2016,1148231,Rosé 2016,0.0,13,13.55,Portugal,Alentejano
Quinta da Revolta,2012,1677626,Rosé 2012,0.0,0,5.8,Portugal,Douro
Quinta de Cidrô,2017,9104,Rosé 2017,0.0,23,16.94,Portugal,Douro
Cabriz,2013,1770323,Dão Rosé 2013,3.2,26,7.32,Portugal,Dão
Quinta dos Termos,2021,1914903,Termos Rosé 2021,0.0,12,4.9,Portugal,Beira Interior
Covela,2020,2256836,Rosé 2020,3.8,31,8.49,Portugal,Minho
Comenda Grande,2021,3870248,Rosé 2021,0.0,5,7.19,Portugal,Alentejano
Quinta da Devesa,2020,1923944,Rosé 2020,0.0,7,6.2,Portugal,Douro
Pacheca,2019,3488217,Douro Colheita Rosé 2019,3.6,110,5.14,Portugal,Douro
Aneto,2018,3812789,Rosé 2018,0.0,13,7.7,Portugal,Douro
Quinta dos Avidagos,2019,5318035,Rosé 2019,0.0,12,6.15,Portugal,Douro
